Dataset,Best Chunk Percentage,Chunk 1 Percentage,Chunk 2 Percentage,Chunk 3 Percentage,Score
MACHINE LEARNING,90.9090909090909,100.0,54.54545454545454,45.45454545454545,5
MACHINE LEARNING,90.47619047619048,28.57142857142857,33.33333333333333,23.809523809523807,0
MACHINE LEARNING,83.33333333333334,41.66666666666667,33.33333333333333,25.0,0
MACHINE LEARNING,45.45454545454545,54.54545454545454,45.45454545454545,54.54545454545454,0
MACHINE LEARNING,28.57142857142857,28.57142857142857,42.857142857142854,21.428571428571427,0
MACHINE LEARNING,100.0,30.0,15.0,35.0,0
MACHINE LEARNING,29.629629629629626,7.4074074074074066,18.51851851851852,18.51851851851852,0
MACHINE LEARNING,28.57142857142857,26.785714285714285,19.642857142857142,14.285714285714285,5
CLASSICAL MECHANICS,77.27272727272727,31.818181818181817,27.27272727272727,22.727272727272727,5
CLASSICAL MECHANICS,12.5,25.0,12.5,29.166666666666668,0
CLASSICAL MECHANICS,57.14285714285714,25.0,32.142857142857146,17.857142857142858,0
CLASSICAL MECHANICS,65.57377049180327,22.950819672131146,29.508196721311474,68.85245901639344,5
CLASSICAL MECHANICS,80.0,26.153846153846157,32.30769230769231,24.615384615384617,4
CLASSICAL MECHANICS,40.50632911392405,31.645569620253166,6.329113924050633,30.37974683544304,4
CLASSICAL MECHANICS,26.153846153846157,13.846153846153847,23.076923076923077,27.692307692307693,3
CLASSICAL MECHANICS,85.71428571428571,17.142857142857142,31.428571428571427,28.57142857142857,4
CLASSICAL MECHANICS,64.51612903225806,29.03225806451613,41.935483870967744,67.74193548387096,4
CLASSICAL MECHANICS,53.84615384615385,61.53846153846154,28.205128205128204,20.51282051282051,5
CLASSICAL MECHANICS,28.888888888888886,35.55555555555556,20.0,31.11111111111111,4
CLASSICAL MECHANICS,31.25,52.083333333333336,91.66666666666666,22.916666666666664,4
CLASSICAL MECHANICS,60.97560975609756,21.951219512195124,24.390243902439025,14.634146341463413,5
CLASSICAL MECHANICS,21.568627450980394,74.50980392156863,31.372549019607842,23.52941176470588,4
CLASSICAL MECHANICS,22.807017543859647,15.789473684210526,15.789473684210526,15.789473684210526,4
CLASSICAL MECHANICS,16.3265306122449,10.204081632653061,10.204081632653061,18.367346938775512,3
CLASSICAL MECHANICS,38.88888888888889,94.44444444444444,27.77777777777778,33.33333333333333,4
CLASSICAL MECHANICS,82.5,25.0,10.0,12.5,5
CLASSICAL MECHANICS,16.27906976744186,11.627906976744185,20.930232558139537,25.581395348837212,4
CLASSICAL MECHANICS,75.0,28.846153846153843,15.384615384615385,53.84615384615385,4
CLASSICAL MECHANICS,47.82608695652174,39.130434782608695,43.47826086956522,17.391304347826086,4
CLASSICAL MECHANICS,33.33333333333333,20.833333333333336,14.583333333333334,25.0,5
ALGEBRAIC GEOMETRY,41.66666666666667,54.166666666666664,62.5,25.0,5
ALGEBRAIC GEOMETRY,75.0,62.5,87.5,37.5,4
ALGEBRAIC GEOMETRY,40.909090909090914,27.27272727272727,18.181818181818183,22.727272727272727,5
ALGEBRAIC GEOMETRY,19.444444444444446,19.444444444444446,22.22222222222222,16.666666666666664,4
ALGEBRAIC GEOMETRY,38.46153846153847,34.61538461538461,26.923076923076923,26.923076923076923,4
ALGEBRAIC GEOMETRY,50.0,34.375,28.125,25.0,0
ALGEBRAIC GEOMETRY,37.5,6.25,31.25,31.25,4
ALGEBRAIC GEOMETRY,37.03703703703704,37.03703703703704,22.22222222222222,25.925925925925924,3
ALGEBRAIC GEOMETRY,21.27659574468085,25.53191489361702,21.27659574468085,31.914893617021278,5
ALGEBRAIC GEOMETRY,19.230769230769234,23.076923076923077,26.923076923076923,15.384615384615385,5
ALGEBRAIC GEOMETRY,22.22222222222222,25.0,25.0,13.88888888888889,4
ALGEBRAIC GEOMETRY,77.27272727272727,54.54545454545454,40.909090909090914,68.18181818181817,4
ALGEBRAIC GEOMETRY,57.57575757575758,6.0606060606060606,15.151515151515152,24.242424242424242,4
ALGEBRAIC GEOMETRY,58.333333333333336,100.0,75.0,66.66666666666666,4
ALGEBRAIC GEOMETRY,22.448979591836736,28.57142857142857,28.57142857142857,18.367346938775512,3
ALGEBRAIC GEOMETRY,28.57142857142857,26.190476190476193,33.33333333333333,30.952380952380953,5
ALGEBRAIC GEOMETRY,50.0,19.230769230769234,15.384615384615385,15.384615384615385,4
ALGEBRAIC GEOMETRY,31.914893617021278,55.319148936170215,25.53191489361702,4.25531914893617,4
CHEMISTRY,36.0,80.0,40.0,28.000000000000004,0
CHEMISTRY,16.666666666666664,25.0,13.88888888888889,25.0,4
CHEMISTRY,45.83333333333333,41.66666666666667,45.83333333333333,100.0,4
CHEMISTRY,54.54545454545454,72.72727272727273,27.27272727272727,0.0,4
CHEMISTRY,52.38095238095239,100.0,33.33333333333333,14.285714285714285,4
