Dataset,Score
MACHINE LEARNING,0
MACHINE LEARNING,0
MACHINE LEARNING,0
MACHINE LEARNING,0
MACHINE LEARNING,0
MACHINE LEARNING,0
MACHINE LEARNING,0
MACHINE LEARNING,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,3
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,5
CLASSICAL MECHANICS,3
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,3
CLASSICAL MECHANICS,3
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
CLASSICAL MECHANICS,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,3
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,3
ALGEBRAIC GEOMETRY,3
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
ALGEBRAIC GEOMETRY,0
CHEMISTRY,3
CHEMISTRY,0
CHEMISTRY,0
CHEMISTRY,0
CHEMISTRY,3
